Vendor id,Vendor name,Stock Value,Purchase ids
VEND001,ABC Supplies Ltd,1245800,"['P001001150720251001', 'P001002200720251002', 'P001003010820251003', 'P001004150820251004', 'P001005010920251005']"
VEND002,XYZ Electronics,987500,"['P002001160720252001', 'P002002220720252002', 'P002003050820252003', 'P002004200820252004']"
VEND003,Global Tech Corp,1567890,"['P003001180720253001', 'P003002250720253002', 'P003003080820253003', 'P003004180820253004', 'P003005050920253005']"
VEND004,Metro Foods,675430,"['P004001190720254001', 'P004002270720254002', 'P004003120820254003', 'P004004070920254004']"
VEND005,Prime Materials,2134560,"['P005001210720255001', 'P005002300720255002', 'P005003140820255003', 'P005004280820255004', 'P005005090920255005', 'P005006110920255006']"
VEND006,United Distributors,845670,"['P006001230720256001', 'P006002020820256002', 'P006003160820256003', 'P006004030920256004']"
VEND007,Central Logistics,1098750,"['P007001240720257001', 'P007002060820257002', 'P007003220820257003', 'P007004100920257004']"
VEND008,Allied Components,756890,"['P008001260720258001', 'P008002100820258002', 'P008003240820258003']"
VEND009,Express Traders,1342580,"['P009001280720259001', 'P009002130820259002', 'P009003270820259003', 'P009004040920259004']"
VEND010,Quality Parts Inc,923470,"['P010001290720250101', 'P010002170820250102', 'P010003060920250103']"